Tue Sep  7 16:15:46 EDT 1999
Astronomical silicate, smoothed UV      
Computed by B.T.Draine (see Laor, A, & Draine, B.T. 1993 ApJ 402,441)
  21 1.000E-03 1.000E+01 = NRAD, a_1 (micron), a_NRAD (micron)
 241 1.000E+03 1.000E-03 = NWAV, w_1 (micron), w_NWAV (micron)

1.000E-03 = radius(micron) Astronomical silicate, smoothed UV      
w(micron)  Q_abs     Q_sca     g=<cos>
1.000E+03 1.380E-07 2.525E-21 0.00E+00
9.441E+02 1.548E-07 3.179E-21 0.00E+00
8.913E+02 1.737E-07 4.002E-21 0.00E+00
8.414E+02 1.950E-07 5.038E-21 0.00E+00
7.943E+02 2.188E-07 6.342E-21 0.00E+00
7.499E+02 2.455E-07 7.984E-21 0.00E+00
7.079E+02 2.755E-07 1.005E-20 0.00E+00
6.683E+02 3.091E-07 1.266E-20 0.00E+00
6.310E+02 3.469E-07 1.593E-20 0.00E+00
5.957E+02 3.893E-07 2.006E-20 0.00E+00
5.623E+02 4.368E-07 2.525E-20 0.00E+00
5.309E+02 4.902E-07 3.179E-20 0.00E+00
5.012E+02 5.501E-07 4.003E-20 0.00E+00
4.732E+02 6.174E-07 5.040E-20 0.00E+00
4.467E+02 6.930E-07 6.345E-20 0.00E+00
4.217E+02 7.778E-07 7.989E-20 0.00E+00
3.981E+02 8.731E-07 1.006E-19 0.00E+00
3.758E+02 9.800E-07 1.266E-19 0.00E+00
3.548E+02 1.100E-06 1.594E-19 0.00E+00
3.350E+02 1.235E-06 2.007E-19 0.00E+00
3.162E+02 1.386E-06 2.527E-19 0.00E+00
2.985E+02 1.556E-06 3.182E-19 0.00E+00
2.818E+02 1.747E-06 4.006E-19 0.00E+00
2.661E+02 1.963E-06 5.044E-19 0.00E+00
2.512E+02 2.204E-06 6.351E-19 0.00E+00
2.371E+02 2.476E-06 7.997E-19 0.00E+00
2.239E+02 2.781E-06 1.007E-18 0.00E+00
2.113E+02 3.123E-06 1.268E-18 0.00E+00
1.995E+02 3.509E-06 1.597E-18 0.00E+00
1.884E+02 3.943E-06 2.011E-18 0.00E+00
1.778E+02 4.433E-06 2.532E-18 0.00E+00
1.679E+02 4.983E-06 3.188E-18 0.00E+00
1.585E+02 5.604E-06 4.015E-18 0.00E+00
1.496E+02 6.304E-06 5.057E-18 0.00E+00
1.413E+02 7.092E-06 6.369E-18 0.00E+00
1.334E+02 7.981E-06 8.021E-18 0.00E+00
1.259E+02 8.985E-06 1.010E-17 0.00E+00
1.189E+02 1.012E-05 1.272E-17 0.00E+00
1.122E+02 1.140E-05 1.603E-17 0.00E+00
1.059E+02 1.285E-05 2.019E-17 0.00E+00
1.000E+02 1.449E-05 2.543E-17 0.00E+00
9.441E+01 1.635E-05 3.203E-17 0.00E+00
8.913E+01 1.845E-05 4.035E-17 0.00E+00
8.414E+01 2.083E-05 5.083E-17 0.00E+00
7.943E+01 2.353E-05 6.402E-17 0.00E+00
7.499E+01 2.660E-05 8.063E-17 0.00E+00
7.079E+01 3.009E-05 1.015E-16 0.00E+00
6.683E+01 3.402E-05 1.279E-16 0.00E+00
6.310E+01 3.850E-05 1.609E-16 0.00E+00
5.957E+01 4.355E-05 2.025E-16 0.00E+00
5.623E+01 4.928E-05 2.547E-16 0.00E+00
5.309E+01 5.569E-05 3.202E-16 0.00E+00
5.012E+01 6.294E-05 4.023E-16 0.00E+00
4.732E+01 7.108E-05 5.052E-16 0.00E+00
4.467E+01 8.022E-05 6.341E-16 0.00E+00
4.217E+01 9.046E-05 7.953E-16 0.00E+00
3.981E+01 1.018E-04 9.951E-16 0.00E+00
3.758E+01 1.144E-04 1.245E-15 0.00E+00
3.548E+01 1.279E-04 1.560E-15 0.00E+00
3.350E+01 1.432E-04 1.956E-15 0.00E+00
3.162E+01 1.612E-04 2.451E-15 0.00E+00
2.985E+01 1.820E-04 3.067E-15 0.00E+00
2.818E+01 2.054E-04 3.823E-15 0.00E+00
2.661E+01 2.323E-04 4.767E-15 0.00E+00
2.512E+01 2.633E-04 5.950E-15 0.00E+00
2.371E+01 2.980E-04 7.356E-15 0.00E+00
2.239E+01 3.384E-04 9.099E-15 0.00E+00
2.113E+01 3.851E-04 1.110E-14 0.00E+00
1.995E+01 4.412E-04 1.339E-14 0.00E+00
1.884E+01 4.915E-04 1.499E-14 0.00E+00
1.778E+01 4.945E-04 1.538E-14 0.00E+00
1.679E+01 4.506E-04 1.549E-14 0.00E+00
1.585E+01 3.854E-04 1.677E-14 0.00E+00
1.496E+01 3.267E-04 2.074E-14 0.00E+00
1.413E+01 2.938E-04 2.978E-14 0.00E+00
1.334E+01 3.504E-04 4.608E-14 0.00E+00
1.259E+01 4.621E-04 6.661E-14 0.00E+00
1.189E+01 6.142E-04 9.217E-14 0.00E+00
1.122E+01 7.990E-04 1.225E-13 0.00E+00
1.059E+01 1.056E-03 1.626E-13 0.00E+00
1.000E+01 1.287E-03 1.829E-13 0.00E+00
9.441E+00 1.444E-03 1.865E-13 0.00E+00
8.913E+00 1.079E-03 1.004E-13 0.00E+00
8.414E+00 6.976E-04 4.923E-14 0.00E+00
7.943E+00 3.236E-04 2.184E-14 0.00E+00
7.499E+00 1.433E-04 4.638E-14 0.00E+00
7.079E+00 1.126E-04 9.530E-14 0.00E+00
6.683E+00 1.113E-04 1.523E-13 0.00E+00
6.310E+00 1.105E-04 2.209E-13 0.00E+00
5.957E+00 1.020E-04 3.981E-13 3.34E-07
5.623E+00 1.004E-04 5.482E-13 3.75E-07
5.309E+00 1.003E-04 7.408E-13 4.20E-07
5.012E+00 1.017E-04 9.883E-13 4.71E-07
4.732E+00 1.043E-04 1.302E-12 5.29E-07
4.467E+00 1.077E-04 1.702E-12 5.94E-07
4.217E+00 1.118E-04 2.207E-12 6.66E-07
3.981E+00 1.159E-04 2.846E-12 7.47E-07
3.758E+00 1.261E-04 2.629E-12 5.89E-07
3.548E+00 1.307E-04 3.355E-12 6.63E-07
3.350E+00 1.353E-04 4.268E-12 7.46E-07
3.162E+00 1.395E-04 5.420E-12 8.38E-07
2.985E+00 1.442E-04 6.878E-12 9.42E-07
2.818E+00 1.494E-04 8.720E-12 1.06E-06
2.661E+00 1.550E-04 1.105E-11 1.19E-06
2.512E+00 1.611E-04 1.397E-11 1.34E-06
2.371E+00 1.678E-04 1.766E-11 1.50E-06
2.239E+00 1.748E-04 2.232E-11 1.68E-06
2.113E+00 1.822E-04 2.816E-11 1.89E-06
1.995E+00 1.903E-04 3.553E-11 2.12E-06
1.884E+00 1.988E-04 4.482E-11 2.38E-06
1.778E+00 2.080E-04 5.650E-11 2.67E-06
1.679E+00 2.182E-04 7.121E-11 3.00E-06
1.585E+00 2.292E-04 8.975E-11 3.37E-06
1.496E+00 2.407E-04 1.131E-10 3.78E-06
1.413E+00 2.529E-04 1.424E-10 4.24E-06
1.334E+00 2.657E-04 1.793E-10 4.76E-06
1.259E+00 2.793E-04 2.258E-10 5.34E-06
1.189E+00 2.945E-04 2.843E-10 5.99E-06
1.122E+00 3.107E-04 3.580E-10 6.72E-06
1.059E+00 3.279E-04 4.507E-10 7.54E-06
1.000E+00 3.461E-04 5.673E-10 8.46E-06
9.441E-01 3.655E-04 7.141E-10 9.49E-06
8.913E-01 3.860E-04 8.990E-10 1.07E-05
8.414E-01 4.075E-04 1.132E-09 1.20E-05
7.943E-01 4.301E-04 1.426E-09 1.34E-05
7.499E-01 4.540E-04 1.796E-09 1.51E-05
7.079E-01 4.793E-04 2.263E-09 1.69E-05
6.683E-01 5.059E-04 2.852E-09 1.90E-05
6.310E-01 5.342E-04 3.596E-09 2.13E-05
5.957E-01 5.642E-04 4.535E-09 2.39E-05
5.623E-01 5.958E-04 5.723E-09 2.68E-05
5.309E-01 6.293E-04 7.226E-09 3.01E-05
5.012E-01 6.645E-04 9.130E-09 3.38E-05
4.732E-01 7.015E-04 1.155E-08 3.80E-05
4.467E-01 7.401E-04 1.462E-08 4.26E-05
4.217E-01 7.810E-04 1.852E-08 4.79E-05
3.981E-01 8.234E-04 2.349E-08 5.38E-05
3.758E-01 8.665E-04 2.983E-08 6.05E-05
3.548E-01 9.115E-04 3.795E-08 6.81E-05
3.350E-01 9.577E-04 4.837E-08 7.66E-05
3.162E-01 1.004E-03 6.182E-08 8.62E-05
2.985E-01 1.051E-03 7.921E-08 9.71E-05
2.818E-01 1.099E-03 1.018E-07 1.09E-04
2.661E-01 1.145E-03 1.314E-07 1.24E-04
2.512E-01 1.186E-03 1.706E-07 1.40E-04
2.371E-01 1.224E-03 2.228E-07 1.58E-04
2.239E-01 1.258E-03 2.944E-07 1.80E-04
2.113E-01 1.540E-03 3.955E-07 2.05E-04
1.995E-01 2.232E-03 5.352E-07 2.35E-04
1.884E-01 3.444E-03 7.301E-07 2.70E-04
1.778E-01 5.382E-03 1.005E-06 3.12E-04
1.679E-01 8.568E-03 1.399E-06 3.60E-04
1.585E-01 1.389E-02 1.960E-06 4.14E-04
1.496E-01 2.244E-02 2.692E-06 4.58E-04
1.413E-01 3.239E-02 3.431E-06 4.81E-04
1.334E-01 3.957E-02 4.286E-06 5.15E-04
1.259E-01 4.728E-02 5.481E-06 5.55E-04
1.189E-01 5.628E-02 7.127E-06 5.98E-04
1.122E-01 6.735E-02 9.440E-06 6.39E-04
1.059E-01 8.213E-02 1.289E-05 6.73E-04
1.000E-01 1.046E-01 1.755E-05 6.81E-04
9.441E-02 1.268E-01 2.269E-05 7.03E-04
8.913E-02 1.437E-01 2.626E-05 7.53E-04
8.414E-02 1.558E-01 3.389E-05 8.35E-04
7.943E-02 1.866E-01 4.721E-05 8.75E-04
7.499E-02 2.230E-01 6.454E-05 9.19E-04
7.079E-02 2.467E-01 8.087E-05 1.00E-03
6.683E-02 2.520E-01 9.493E-05 1.12E-03
6.310E-02 2.125E-01 9.122E-05 1.29E-03
5.957E-02 1.324E-01 5.553E-05 1.53E-03
5.623E-02 1.059E-01 3.537E-05 1.80E-03
5.309E-02 9.922E-02 3.252E-05 2.06E-03
5.012E-02 9.480E-02 3.203E-05 2.34E-03
4.732E-02 9.143E-02 3.282E-05 2.65E-03
4.467E-02 8.851E-02 3.433E-05 2.99E-03
4.217E-02 8.572E-02 3.633E-05 3.37E-03
3.981E-02 8.291E-02 3.864E-05 3.80E-03
3.758E-02 7.995E-02 4.112E-05 4.28E-03
3.548E-02 7.684E-02 4.372E-05 4.82E-03
3.350E-02 7.358E-02 4.637E-05 5.43E-03
